net,length_um
net8,365.955
net12,295.04
net5,270.905
net2,255.99
net32,244.22
net9,237.77
net14,235.92
net13,235.72
net30,222.84
net1,219.88
net31,218.77
net46,209.99
net4,209.5
_0619_,207.66
net20,193.86
net22,190.86
net42,188.86
net40,181.16
net23,179.66
net26,175.62
net18,174.26
net37,173.56
net35,171.88
_0623_,168.035
_0057_,165.5
net16,162.67
_0615_,156.05
net19,150.345
_0039_,149.16
net17,149.08
net47,146.78
net45,144.72
_0624_,144.245
_0625_,143.5
net10,143.34
net38,140.2
net15,138.5
clk,137.91
net27,135.95
net7,131.98
net6,127.52
net3,127.21
_0522_,126.12
_0036_,124.135
clknet_2_3__leaf_clk,124.095
net34,120.96
net49,116.8
_0627_,116.6
_0626_,115.425
_0521_,115.3
clknet_2_1__leaf_clk,115.26
net21,114.1
net50,113.42
_0278_,110.62
net48,108.32
_0058_,107.095
clknet_2_2__leaf_clk,106.77
net39,105.2
_0243_,104.62
_0110_,102.165
net36,99.82
clknet_2_0__leaf_clk,98.36
_0081_,97.45
_0616_,96
net33,95.46
_0377_,95.38
_0114_,94.2
_0041_,92.425
_0082_,92.255
_0617_,91.78
_0512_,91.08
net28,90.3
net25,89.78
net11,89.08
_0187_,88.64
_0148_,87.65
clknet_0_clk,79.68
net41,78.32
net43,76.57
_0153_,73.78
net29,71.88
_0505_,69.57
net44,68.38
_0339_,67.26
_0043_,64.84
_0618_,64.73
net24,61.86
_0061_,61.74
_0035_,61.44
_0042_,58.28
_0378_,55.56
_0341_,51.8
_0258_,45.46
_0038_,45.1
_0459_,43.44
_0489_,42.41
_0504_,41.66
_0112_,41.26
_0208_,40.08
_0305_,39.96
_0515_,39.28
_0201_,39.22
_0304_,39.16
_0405_,38.3
_0249_,37.975
_0100_,37.78
_0096_,36.36
net59,35.92
_0234_,35.5
_0259_,35.32
_0073_,34.74
_0172_,33.21
_0295_,32.22
_0209_,31.16
_0092_,31.04
_0242_,30.85
_0093_,29.5
_0629_,29.38
_0168_,29.26
_0503_,28.76
_0101_,28.3
_0412_,27.86
_0069_,27.68
_0442_,27.38
_0135_,27.32
_0200_,27.295
_0075_,27.22
_0097_,27.16
_0149_,26.58
_0326_,26.52
_0490_,26.52
_0163_,25.3
_0366_,25.22
_0285_,25.2
_0212_,24.9
_0451_,24.72
_0136_,24.42
_0562_,24.34
_0164_,24.3
_0175_,24.3
_0324_,24.24
_0068_,23.7
_0455_,23.58
_0492_,23.48
_0237_,23.38
_0355_,23.32
_0130_,23.275
_0266_,23.2
_0563_,23.18
_0506_,22.64
_0546_,22.3
_0590_,21.94
_0379_,21.7
_0407_,21.66
_0160_,21.6
_0296_,21.48
_0352_,21.24
_0374_,20.86
_0124_,20.73
_0484_,20.62
_0246_,20.58
_0419_,20.54
_0139_,20.53
_0253_,20.5
_0595_,20.38
_0254_,20.24
_0257_,20.24
_0034_,20.2
_0157_,20.16
_0283_,20.02
_0310_,19.98
_0128_,19.855
_0236_,19.82
_0089_,19.72
_0134_,19.64
_0395_,19.62
_0270_,19.58
_0430_,19.4
_0299_,19.12
_0176_,19.02
_0279_,19
_0458_,18.88
_0045_,18.6
_0203_,18.58
_0065_,18.54
_0479_,18.48
_0084_,18.465
_0046_,18.34
_0349_,18.24
_0214_,18.22
_0390_,18.22
_0350_,18.18
_0072_,18.12
_0323_,17.9
_0592_,17.88
_0540_,17.74
_0133_,17.71
_0300_,17.62
_0224_,17.56
_0262_,17.52
net54,17.52
_0628_,17.46
_0186_,17.44
_0566_,17.4
_0169_,17.32
_0269_,17.2
_0044_,17.195
_0475_,17.16
_0543_,17.14
_0189_,17.12
_0438_,17.04
_0123_,17
_0557_,16.96
_0516_,16.7
_0445_,16.44
_0388_,16.42
_0106_,16.4
_0381_,16.4
_0376_,16.24
_0584_,16.22
_0179_,16.16
_0463_,16.12
_0064_,16.1
_0606_,15.96
_0219_,15.94
_0318_,15.82
_0460_,15.82
_0159_,15.54
_0048_,15.5
_0122_,15.46
out[21],15.4
_0174_,15.36
_0502_,15.26
_0118_,15.2
_0368_,15.18
_0301_,15.1
_0568_,15.02
_0410_,14.98
_0574_,14.94
_0383_,14.92
_0466_,14.92
_0071_,14.915
_0491_,14.84
_0573_,14.72
a[7],14.7
_0440_,14.62
_0399_,14.58
_0131_,14.56
_0424_,14.56
_0204_,14.54
_0313_,14.54
_0555_,14.46
_0226_,14.42
_0090_,14.38
_0603_,14.34
_0291_,14.325
_0137_,14.26
_0229_,14.02
_0264_,13.96
_0274_,13.94
_0344_,13.88
_0116_,13.86
_0037_,13.66
_0331_,13.6
_0418_,13.58
_0221_,13.54
_0527_,13.5
_0589_,13.5
_0422_,13.46
_0178_,13.4
_0233_,13.26
_0396_,13.26
b[0],13.18
_0193_,13.14
_0322_,13.14
_0367_,13.12
_0413_,13.1
_0129_,13.06
_0181_,13.06
_0080_,13.02
_0216_,12.98
_0248_,12.98
_0268_,12.94
_0476_,12.88
_0550_,12.82
_0098_,12.78
b[2],12.72
_0230_,12.71
_0250_,12.7
_0067_,12.66
_0215_,12.66
out[7],12.62
out[5],12.58
_0066_,12.54
_0162_,12.54
_0423_,12.54
_0611_,12.52
_0529_,12.48
_0220_,12.42
_0261_,12.3
_0289_,12.28
_0288_,12.24
_0231_,12.235
_0146_,12.22
_0308_,12.14
_0348_,12.12
_0346_,12.08
_0494_,12.075
_0147_,12.04
_0191_,12.04
_0217_,12
_0282_,11.98
_0542_,11.96
_0421_,11.92
_0581_,11.92
_0554_,11.91
_0354_,11.86
net63,11.8
_0151_,11.78
_0297_,11.745
_0364_,11.66
_0117_,11.64
_0190_,11.64
_0198_,11.62
_0023_,11.58
_0293_,11.58
_0429_,11.5
_0591_,11.4
_0314_,11.37
_0050_,11.305
_0448_,11.3
out[29],11.26
out[8],11.26
_0565_,11.24
out[15],11.24
_0140_,11.18
_0049_,11.14
a[3],11.14
_0317_,11.1
_0347_,11.1
_0608_,11.06
_0534_,11.04
_0298_,11.02
_0309_,10.98
_0152_,10.96
_0205_,10.9
_0605_,10.88
_0059_,10.84
_0121_,10.74
_0327_,10.71
_0541_,10.7
_0102_,10.68
rst,10.65
_0166_,10.64
_0145_,10.6
_0052_,10.42
a[6],10.42
b[4],10.42
b[7],10.42
_0241_,10.4
_0054_,10.36
_0336_,10.36
out[14],10.32
out[19],10.32
out[1],10.32
out[27],10.32
out[6],10.32
_0062_,10.3
_0480_,10.26
_0401_,10.24
_0206_,10.22
_0564_,10.22
net60,10.2
net55,10.16
_0402_,10.1
_0047_,10.08
_0340_,10.08
_0393_,10.08
_0465_,10.04
_0526_,10.04
_0583_,10.04
_0375_,10
_0063_,9.94
_0158_,9.91
_0360_,9.9
_0228_,9.88
_0312_,9.86
_0256_,9.84
_0087_,9.8
_0471_,9.78
_0486_,9.72
_0594_,9.7
out[10],9.63
_0294_,9.62
_0232_,9.48
_0600_,9.48
_0247_,9.46
_0306_,9.46
_0353_,9.46
_0177_,9.44
_0235_,9.44
_0414_,9.43
_0307_,9.36
_0495_,9.36
_0497_,9.36
_0579_,9.36
_0222_,9.3
_0380_,9.28
_0280_,9.26
_0453_,9.26
_0085_,9.24
_0167_,9.24
_0450_,9.2
_0223_,9.16
_0244_,9.16
_0311_,9.16
_0481_,9.14
_0273_,9.06
net62,9.06
_0218_,9.04
_0363_,9.04
_0432_,9
_0030_,8.985
_0514_,8.96
out[0],8.96
out[24],8.96
out[26],8.96
out[2],8.96
out[3],8.96
_0091_,8.94
_0365_,8.94
_0119_,8.9
_0382_,8.9
_0361_,8.88
a[0],8.84
a[1],8.84
_0239_,8.82
_0607_,8.82
_0155_,8.78
_0343_,8.78
_0417_,8.78
_0197_,8.7
_0263_,8.6
_0060_,8.58
_0086_,8.58
_0113_,8.52
_0194_,8.5
out[20],8.5
_0185_,8.48
_0386_,8.46
_0180_,8.44
_0500_,8.44
out[16],8.38
_0188_,8.36
_0240_,8.36
_0329_,8.36
_0461_,8.36
_0614_,8.36
_0612_,8.32
_0251_,8.275
_0439_,8.26
_0001_,8.205
_0585_,8.2
_0195_,8.18
_0199_,8.12
_0441_,8.1
_0319_,8.08
_0548_,8.06
_0499_,8.04
_0138_,8
_0213_,8
_0604_,8
_0292_,7.97
_0108_,7.96
_0260_,7.94
_0276_,7.92
_0473_,7.92
_0095_,7.9
_0132_,7.86
_0359_,7.8
_0315_,7.78
_0211_,7.76
_0392_,7.76
_0493_,7.7
_0196_,7.68
_0267_,7.68
_0485_,7.68
_0127_,7.66
_0586_,7.64
_0055_,7.56
_0601_,7.56
_0027_,7.545
_0467_,7.54
_0144_,7.52
_0535_,7.52
_0210_,7.505
_0411_,7.48
_0165_,7.44
_0252_,7.44
_0265_,7.44
_0109_,7.4
_0330_,7.4
_0004_,7.385
_0126_,7.32
_0370_,7.32
_0372_,7.32
_0498_,7.32
_0006_,7.285
_0088_,7.28
_0436_,7.22
_0570_,7.22
_0609_,7.22
_0571_,7.195
_0389_,7.18
net51,7.18
_0003_,7.165
_0238_,7.16
_0456_,7.12
_0580_,7.115
_0103_,7.1
_0552_,7.08
_0409_,7.06
out[30],7.01
_0107_,7
_0094_,6.98
_0099_,6.98
_0613_,6.94
_0154_,6.86
_0362_,6.86
_0431_,6.86
_0530_,6.86
_0630_,6.86
b[3],6.79
_0245_,6.76
_0403_,6.76
_0400_,6.74
_0120_,6.72
_0373_,6.72
_0544_,6.7
_0434_,6.6
net57,6.6
_0019_,6.565
_0488_,6.5
_0520_,6.5
_0286_,6.36
valid,6.33
_0017_,6.28
_0032_,6.28
_0161_,6.28
_0462_,6.26
_0547_,6.26
out[13],6.21
_0454_,6.2
_0569_,6.2
_0173_,6.18
_0470_,6.18
_0596_,6.18
_0321_,6.16
_0371_,6.16
a[5],6.09
out[18],6.09
_0621_,6.06
_0427_,6.02
_0474_,5.94
_0599_,5.94
_0446_,5.9
_0290_,5.85
_0070_,5.84
_0079_,5.84
_0105_,5.84
_0156_,5.84
_0507_,5.84
_0125_,5.82
_0351_,5.82
a[4],5.77
out[28],5.75
_0302_,5.72
_0356_,5.72
b[5],5.65
_0202_,5.6
_0342_,5.6
_0538_,5.6
net58,5.6
_0026_,5.545
out[9],5.53
_0111_,5.48
_0170_,5.48
_0272_,5.48
_0328_,5.48
_0345_,5.48
_0387_,5.48
_0577_,5.48
b[6],5.41
_0076_,5.4
_0333_,5.4
_0575_,5.4
_0391_,5.38
_0325_,5.36
_0020_,5.345
_0303_,5.3
_0284_,5.28
_0010_,5.26
_0277_,5.26
_0320_,5.26
_0426_,5.26
_0443_,5.26
_0015_,5.245
_0519_,5.22
out[12],5.19
out[4],5.19
_0457_,5.16
_0517_,5.07
out[17],5.07
out[23],5.07
out[31],5.07
_0496_,5.04
_0335_,5.02
_0316_,5
b[1],4.95
_0008_,4.92
_0033_,4.92
_0207_,4.92
_0539_,4.92
_0533_,4.91
_0078_,4.88
_0523_,4.88
_0551_,4.88
_0622_,4.88
out[11],4.85
_0053_,4.8
_0408_,4.78
_0022_,4.7
_0271_,4.7
_0334_,4.68
_0513_,4.68
_0477_,4.505
_0553_,4.48
_0074_,4.46
_0524_,4.46
_0558_,4.46
_0559_,4.46
_0028_,4.425
out[22],4.39
_0051_,4.36
_0385_,4.36
_0447_,4.36
_0469_,4.36
_0171_,4.34
_0560_,4.34
net56,4.34
_0005_,4.24
_0021_,4.24
_0287_,4.22
_0433_,4.22
_0437_,4.14
_0561_,4.1
_0281_,4.02
_0115_,4
_0549_,4
_0255_,3.98
a[2],3.93
out[25],3.93
_0536_,3.9
_0537_,3.9
_0369_,3.88
_0394_,3.88
_0449_,3.88
net61,3.88
_0013_,3.78
_0478_,3.78
_0602_,3.76
_0018_,3.725
_0620_,3.68
net53,3.66
_0472_,3.64
_0582_,3.64
_0357_,3.59
_0464_,3.56
_0525_,3.56
_0597_,3.56
_0501_,3.55
_0337_,3.54
_0468_,3.44
_0508_,3.44
_0143_,3.42
_0227_,3.42
_0384_,3.42
_0416_,3.42
_0528_,3.42
_0002_,3.125
_0588_,3.1
_0182_,3.08
_0397_,3.08
_0444_,3.08
_0545_,3.08
_0077_,2.96
_0428_,2.96
_0482_,2.96
_0610_,2.96
_0025_,2.86
_0225_,2.785
_0040_,2.76
_0531_,2.74
_0083_,2.64
_0483_,2.64
_0104_,2.62
_0275_,2.62
_0398_,2.62
_0578_,2.62
_0587_,2.62
_0598_,2.62
_0016_,2.545
_0332_,2.5
_0509_,2.5
_0510_,2.5
_0556_,2.5
_0141_,2.48
_0014_,2.325
_0024_,2.325
_0183_,2.3
_0420_,2.3
_0487_,2.18
_0184_,2.16
_0404_,2.16
_0576_,2.16
_0009_,2.08
_0056_,2.06
net52,2.06
_0192_,2.04
_0029_,2.025
_0000_,1.865
_0007_,1.865
_0012_,1.865
_0142_,1.72
_0435_,1.72
_0532_,1.72
_0338_,1.7
_0511_,1.7
_0011_,1.685
_0031_,1.405
_0406_,1.36
_0358_,0.92
_0518_,0.92
_0567_,0.92
_0425_,0.8
_0150_,0.46
_0415_,0.46
_0452_,0.46
_0572_,0.46
_0593_,0.46
