net,length_um
_0101_,316.8µm
clknet_0_clk,280.32µm
net59,256.1µm
net116,233.32µm
net9,226.19µm
_0103_,212.83µm
net106,208.54µm
net111,199.24µm
net73,194.66µm
net57,191.54µm
net114,187µm
net62,185.61µm
net104,184.54µm
net107,179.28µm
net60,174.34µm
net75,172.56µm
net97,171.1µm
net61,169.86µm
net112,169.5µm
net88,168.5µm
net67,168.12µm
clknet_3_6__leaf_clk,166.48µm
clk,165.73µm
net91,160.73µm
clknet_3_5__leaf_clk,160.24µm
net105,159.86µm
net58,153.3µm
_0102_,151µm
net69,149.84µm
clknet_3_1__leaf_clk,149.06µm
_0100_,147.62µm
clknet_3_7__leaf_clk,146.08µm
_0591_,142.86µm
net85,137.63µm
net110,132.54µm
net109,132.32µm
net87,132.18µm
core_b\[3\],128.96µm
net92,128.72µm
net96,122.6µm
clknet_3_4__leaf_clk,119.24µm
_0083_,115.98µm
net65,114.65µm
net83,112.36µm
_0144_,110.52µm
net103,109.72µm
net86,108.5µm
net100,107.46µm
clknet_3_2__leaf_clk,106.64µm
net108,105.58µm
_0090_,104.52µm
clknet_3_3__leaf_clk,103.64µm
core_b\[7\],101.865µm
_0119_,101.64µm
net53,100.56µm
net68,99.71µm
net113,96.18µm
clknet_3_0__leaf_clk,95.68µm
net94,95.67µm
net72,89.68µm
net70,88.86µm
net66,88.02µm
net71,87.34µm
net82,87.12µm
net74,87.1µm
net101,83.78µm
net89,83.24µm
core_a\[3\],82.34µm
core_out\[24\],81.7µm
net77,80.48µm
net52,78.02µm
net64,77.19µm
net98,73.98µm
net84,73.34µm
net78,73.16µm
net90,72.355µm
net93,71.8µm
net132,71.62µm
core_b\[4\],71.6µm
net63,69.21µm
_0398_,68.5µm
net76,68.16µm
net95,67.32µm
_0081_,65.64µm
net80,62.99µm
_0084_,62.8µm
core_out\[10\],62.8µm
_0399_,62.5µm
core_a\[0\],61.96µm
net115,60.78µm
_0431_,60.5µm
core_out\[16\],59.84µm
_0400_,57.92µm
core_out\[17\],57.895µm
core_out\[20\],57.86µm
net126,57.56µm
net79,56.49µm
core_out\[6\],56.02µm
core_out\[25\],53.46µm
net102,52.94µm
core_out\[18\],52.52µm
core_out\[5\],51.58µm
_0336_,50.9µm
net99,50.12µm
core_out\[21\],49.8µm
core_out\[22\],48.46µm
_0439_,46.36µm
_0362_,46.18µm
_0116_,46.14µm
_0582_,46.1µm
_0574_,45.66µm
_0570_,45.6µm
core_a\[1\],44.7µm
_0120_,44.68µm
