Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_405,VGND,li1,192.2800,184.9600,0.000013
FILLER_64_393,VGND,li1,189.0600,184.9600,0.000013
FILLER_64_389,VGND,li1,185.1500,184.9600,0.000013
FILLER_64_377,VGND,li1,181.7000,184.9600,0.000013
FILLER_64_365,VGND,li1,176.1800,184.9600,0.000016
FILLER_64_361,VGND,li1,172.2700,184.9600,0.000021
FILLER_64_349,VGND,li1,168.8200,184.9600,0.000025
FILLER_64_337,VGND,li1,163.3000,184.9600,0.000032
FILLER_64_335,VGND,li1,159.8500,184.9600,0.000037
FILLER_64_327,VGND,li1,157.7800,184.9600,0.000039
FILLER_64_315,VGND,li1,153.1800,184.9600,0.000045
FILLER_64_309,VGND,li1,148.1200,184.9600,0.000052
FILLER_64_307,VGND,li1,146.9700,184.9600,0.000054
FILLER_64_303,VGND,li1,145.8200,184.9600,0.000054
FILLER_64_293,VGND,li1,141.2200,184.9600,0.000059
FILLER_64_281,VGND,li1,137.5400,184.9600,0.000063
FILLER_64_268,VGND,li1,130.6400,184.9600,0.000070
FILLER_64_253,VGND,li1,122.5900,184.9600,0.000076
FILLER_64_250,VGND,li1,120.9800,184.9600,0.000076
FILLER_64_238,VGND,li1,117.7600,184.9600,0.000078
FILLER_64_231,VGND,li1,112.4700,184.9600,0.000080
FILLER_64_225,VGND,li1,109.4800,184.9600,0.000079
FILLER_64_223,VGND,li1,108.3300,184.9600,0.000078
FILLER_64_217,VGND,li1,106.7200,184.9600,0.000078
FILLER_64_209,VGND,li1,102.5800,184.9600,0.000076
FILLER_64_197,VGND,li1,98.9000,184.9600,0.000074
FILLER_64_195,VGND,li1,95.4500,184.9600,0.000072
FILLER_64_189,VGND,li1,93.8400,184.9600,0.000072
FILLER_64_181,VGND,li1,89.7000,184.9600,0.000069
FILLER_64_169,VGND,li1,86.0200,184.9600,0.000066
FILLER_64_167,VGND,li1,82.5700,184.9600,0.000063
FILLER_64_161,VGND,li1,80.9600,184.9600,0.000063
FILLER_64_153,VGND,li1,76.8200,184.9600,0.000059
FILLER_64_141,VGND,li1,73.1400,184.9600,0.000056
FILLER_64_137,VGND,li1,69.2300,184.9600,0.000053
FILLER_64_125,VGND,li1,65.7800,184.9600,0.000050
FILLER_64_113,VGND,li1,60.2600,184.9600,0.000046
FILLER_64_105,VGND,li1,54.5100,184.9600,0.000039
FILLER_64_97,VGND,li1,51.0600,184.9600,0.000037
FILLER_64_85,VGND,li1,47.3800,184.9600,0.000034
FILLER_64_81,VGND,li1,43.4700,184.9600,0.000030
FILLER_64_69,VGND,li1,40.0200,184.9600,0.000026
FILLER_64_57,VGND,li1,34.5000,184.9600,0.000020
FILLER_64_53,VGND,li1,30.5900,184.9600,0.000015
FILLER_64_41,VGND,li1,27.1400,184.9600,0.000013
FILLER_64_29,VGND,li1,21.6200,184.9600,0.000010
FILLER_64_27,VGND,li1,18.1700,184.9600,0.000010
FILLER_64_15,VGND,li1,15.1800,184.9600,0.000010
FILLER_64_3,VGND,li1,9.6600,184.9600,0.000010
FILLER_63_405,VGND,li1,192.2800,184.9600,0.000013
FILLER_63_393,VGND,li1,189.0600,184.9600,0.000013
FILLER_63_391,VGND,li1,185.6100,184.9600,0.000013
FILLER_63_385,VGND,li1,184.0000,184.9600,0.000013
FILLER_63_373,VGND,li1,179.8600,184.9600,0.000013
FILLER_63_361,VGND,li1,174.3400,184.9600,0.000018
FILLER_63_349,VGND,li1,168.8200,184.9600,0.000025
FILLER_63_337,VGND,li1,163.3000,184.9600,0.000032
FILLER_63_335,VGND,li1,159.8500,184.9600,0.000037
FILLER_63_329,VGND,li1,158.2400,184.9600,0.000039
FILLER_63_317,VGND,li1,154.1000,184.9600,0.000045
FILLER_63_305,VGND,li1,148.5800,184.9600,0.000052
FILLER_63_293,VGND,li1,143.0600,184.9600,0.000058
FILLER_63_281,VGND,li1,137.5400,184.9600,0.000063
FILLER_63_278,VGND,li1,133.8600,184.9600,0.000067
FILLER_63_253,VGND,li1,122.1300,184.9600,0.000076
FILLER_63_249,VGND,li1,120.9800,184.9600,0.000076
FILLER_63_218,VGND,li1,107.1800,184.9600,0.000078
FILLER_63_201,VGND,li1,98.2100,184.9600,0.000074
FILLER_63_189,VGND,li1,95.2200,184.9600,0.000072
FILLER_63_169,VGND,li1,86.0200,184.9600,0.000066
FILLER_63_167,VGND,li1,82.5700,184.9600,0.000063
FILLER_63_161,VGND,li1,80.9600,184.9600,0.000063
