┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins ┃ Disconnected ┃ Signal Pins ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ top            │ VPWR       │              │ addr[0]     │ wdata[10]    │
│                │ VGND       │              │ addr[1]     │ wdata[11]    │
│                │            │              │ addr[2]     │ wdata[12]    │
│                │            │              │ addr[3]     │ wdata[13]    │
│                │            │              │ addr[4]     │ wdata[14]    │
│                │            │              │ addr[5]     │ wdata[15]    │
│                │            │              │ addr[6]     │ wdata[16]    │
│                │            │              │ addr[7]     │ wdata[17]    │
│                │            │              │ clk         │ wdata[18]    │
│                │            │              │ rdata[0]    │ wdata[19]    │
│                │            │              │ rdata[10]   │ wdata[20]    │
│                │            │              │ rdata[11]   │ wdata[21]    │
│                │            │              │ rdata[12]   │ wdata[22]    │
│                │            │              │ rdata[13]   │ wdata[23]    │
│                │            │              │ rdata[14]   │ wdata[24]    │
│                │            │              │ rdata[15]   │ wdata[25]    │
│                │            │              │ rdata[16]   │ wdata[26]    │
│                │            │              │ rdata[17]   │ wdata[27]    │
│                │            │              │ rdata[18]   │ wdata[28]    │
│                │            │              │ rdata[19]   │ wdata[29]    │
│                │            │              │ rdata[1]    │ wdata[30]    │
│                │            │              │ rdata[20]   │ wdata[31]    │
│                │            │              │ rdata[21]   │ wdata[8]     │
│                │            │              │ rdata[22]   │ wdata[9]     │
│                │            │              │ rdata[23]   │              │
│                │            │              │ rdata[24]   │              │
│                │            │              │ rdata[25]   │              │
│                │            │              │ rdata[26]   │              │
│                │            │              │ rdata[27]   │              │
│                │            │              │ rdata[28]   │              │
│                │            │              │ rdata[29]   │              │
│                │            │              │ rdata[2]    │              │
│                │            │              │ rdata[30]   │              │
│                │            │              │ rdata[31]   │              │
│                │            │              │ rdata[3]    │              │
│                │            │              │ rdata[4]    │              │
│                │            │              │ rdata[5]    │              │
│                │            │              │ rdata[6]    │              │
│                │            │              │ rdata[7]    │              │
│                │            │              │ rdata[8]    │              │
│                │            │              │ rdata[9]    │              │
│                │            │              │ ready       │              │
│                │            │              │ rst         │              │
│                │            │              │ valid       │              │
│                │            │              │ wdata[0]    │              │
│                │            │              │ wdata[1]    │              │
│                │            │              │ wdata[2]    │              │
│                │            │              │ wdata[3]    │              │
│                │            │              │ wdata[4]    │              │
│                │            │              │ wdata[5]    │              │
│                │            │              │ wdata[6]    │              │
│                │            │              │ wdata[7]    │              │
│                │            │              │ write       │              │
└────────────────┴────────────┴──────────────┴─────────────┴──────────────┘
