Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_405,VPWR,li1,192.2800,187.6800,1.799992
FILLER_64_393,VPWR,li1,189.0600,187.6800,1.799992
FILLER_64_389,VPWR,li1,185.1500,187.6800,1.799992
FILLER_64_377,VPWR,li1,181.7000,187.6800,1.799992
FILLER_64_365,VPWR,li1,176.1800,187.6800,1.799992
FILLER_64_361,VPWR,li1,172.2700,187.6800,1.799989
FILLER_64_349,VPWR,li1,168.8200,187.6800,1.799986
FILLER_64_337,VPWR,li1,163.3000,187.6800,1.799982
FILLER_64_335,VPWR,li1,159.8500,187.6800,1.799979
FILLER_64_327,VPWR,li1,157.7800,187.6800,1.799977
FILLER_64_315,VPWR,li1,153.1800,187.6800,1.799973
FILLER_64_309,VPWR,li1,148.1200,187.6800,1.799969
FILLER_64_307,VPWR,li1,146.9700,187.6800,1.799967
FILLER_64_303,VPWR,li1,145.8200,187.6800,1.799967
FILLER_64_293,VPWR,li1,141.2200,187.6800,1.799964
FILLER_64_281,VPWR,li1,137.5400,187.6800,1.799962
FILLER_64_268,VPWR,li1,130.6400,187.6800,1.799959
FILLER_64_253,VPWR,li1,122.5900,187.6800,1.799956
FILLER_64_250,VPWR,li1,120.9800,187.6800,1.799956
FILLER_64_238,VPWR,li1,117.7600,187.6800,1.799956
FILLER_64_231,VPWR,li1,112.4700,187.6800,1.799955
FILLER_64_225,VPWR,li1,109.4800,187.6800,1.799956
FILLER_64_223,VPWR,li1,108.3300,187.6800,1.799956
FILLER_64_217,VPWR,li1,106.7200,187.6800,1.799956
FILLER_64_209,VPWR,li1,102.5800,187.6800,1.799956
FILLER_64_197,VPWR,li1,98.9000,187.6800,1.799957
FILLER_64_195,VPWR,li1,95.4500,187.6800,1.799958
FILLER_64_189,VPWR,li1,93.8400,187.6800,1.799958
FILLER_64_181,VPWR,li1,89.7000,187.6800,1.799959
FILLER_64_169,VPWR,li1,86.0200,187.6800,1.799960
FILLER_64_167,VPWR,li1,82.5700,187.6800,1.799962
FILLER_64_161,VPWR,li1,80.9600,187.6800,1.799962
FILLER_64_153,VPWR,li1,76.8200,187.6800,1.799963
FILLER_64_141,VPWR,li1,73.1400,187.6800,1.799965
FILLER_64_137,VPWR,li1,69.2300,187.6800,1.799967
FILLER_64_125,VPWR,li1,65.7800,187.6800,1.799968
FILLER_64_113,VPWR,li1,60.2600,187.6800,1.799970
FILLER_64_105,VPWR,li1,54.5100,187.6800,1.799974
FILLER_64_97,VPWR,li1,51.0600,187.6800,1.799975
FILLER_64_85,VPWR,li1,47.3800,187.6800,1.799977
FILLER_64_81,VPWR,li1,43.4700,187.6800,1.799980
FILLER_64_69,VPWR,li1,40.0200,187.6800,1.799982
FILLER_64_57,VPWR,li1,34.5000,187.6800,1.799986
FILLER_64_53,VPWR,li1,30.5900,187.6800,1.799988
FILLER_64_41,VPWR,li1,27.1400,187.6800,1.799990
FILLER_64_29,VPWR,li1,21.6200,187.6800,1.799994
FILLER_64_27,VPWR,li1,18.1700,187.6800,1.799994
FILLER_64_15,VPWR,li1,15.1800,187.6800,1.799994
FILLER_64_3,VPWR,li1,9.6600,187.6800,1.799994
FILLER_63_405,VPWR,li1,192.2800,182.2400,1.799970
FILLER_63_393,VPWR,li1,189.0600,182.2400,1.799970
FILLER_63_391,VPWR,li1,185.6100,182.2400,1.799970
FILLER_63_385,VPWR,li1,184.0000,182.2400,1.799970
FILLER_63_373,VPWR,li1,179.8600,182.2400,1.799970
FILLER_63_361,VPWR,li1,174.3400,182.2400,1.799970
FILLER_63_349,VPWR,li1,168.8200,182.2400,1.799954
FILLER_63_337,VPWR,li1,163.3000,182.2400,1.799937
FILLER_63_335,VPWR,li1,159.8500,182.2400,1.799927
FILLER_63_329,VPWR,li1,158.2400,182.2400,1.799921
FILLER_63_317,VPWR,li1,154.1000,182.2400,1.799910
FILLER_63_305,VPWR,li1,148.5800,182.2400,1.799892
FILLER_63_293,VPWR,li1,143.0600,182.2400,1.799879
FILLER_63_281,VPWR,li1,137.5400,182.2400,1.799869
FILLER_63_278,VPWR,li1,133.8600,182.2400,1.799861
FILLER_63_253,VPWR,li1,122.1300,182.2400,1.799842
FILLER_63_249,VPWR,li1,120.9800,182.2400,1.799842
FILLER_63_218,VPWR,li1,107.1800,182.2400,1.799838
FILLER_63_201,VPWR,li1,98.2100,182.2400,1.799842
FILLER_63_189,VPWR,li1,95.2200,182.2400,1.799845
FILLER_63_169,VPWR,li1,86.0200,182.2400,1.799859
FILLER_63_167,VPWR,li1,82.5700,182.2400,1.799868
FILLER_63_161,VPWR,li1,80.9600,182.2400,1.799868
FILLER_63_149,VPWR,li1,76.8200,182.2400,1.799876
FILLER_63_137,VPWR,li1,71.3000,182.2400,1.799889
FILLER_63_125,VPWR,li1,65.7800,182.2400,1.799897
FILLER_63_113,VPWR,li1,60.2600,182.2400,1.799907
FILLER_63_111,VPWR,li1,56.8100,182.2400,1.799917
FILLER_63_105,VPWR,li1,55.2000,182.2400,1.799917
FILLER_63_93,VPWR,li1,51.0600,182.2400,1.799924
FILLER_63_81,VPWR,li1,45.5400,182.2400,1.799937
FILLER_63_69,VPWR,li1,40.0200,182.2400,1.799945
FILLER_63_57,VPWR,li1,34.5000,182.2400,1.799955
FILLER_63_55,VPWR,li1,31.0500,182.2400,1.799964
FILLER_63_51,VPWR,li1,29.9000,182.2400,1.799964
FILLER_63_39,VPWR,li1,26.2200,182.2400,1.799971
FILLER_63_27,VPWR,li1,20.7000,182.2400,1.799981
FILLER_63_15,VPWR,li1,15.1800,182.2400,1.799981
FILLER_63_3,VPWR,li1,9.6600,182.2400,1.799981
FILLER_62_401,VPWR,li1,191.3600,182.2400,1.799970
FILLER_62_389,VPWR,li1,187.2200,182.2400,1.799970
FILLER_62_377,VPWR,li1,181.7000,182.2400,1.799970
FILLER_62_365,VPWR,li1,176.1800,182.2400,1.799970
FILLER_62_361,VPWR,li1,172.2700,182.2400,1.799964
FILLER_62_349,VPWR,li1,168.8200,182.2400,1.799954
FILLER_62_337,VPWR,li1,163.3000,182.2400,1.799937
FILLER_62_325,VPWR,li1,157.7800,182.2400,1.799921
FILLER_62_293,VPWR,li1,141.6800,182.2400,1.799879
FILLER_62_268,VPWR,li1,129.0300,182.2400,1.799852
FILLER_62_262,VPWR,li1,127.4200,182.2400,1.799847
FILLER_62_234,VPWR,li1,113.6200,182.2400,1.799838
FILLER_62_226,VPWR,li1,111.3200,182.2400,1.799837
FILLER_62_213,VPWR,li1,104.4200,182.2400,1.799839
FILLER_62_173,VPWR,li1,85.7900,182.2400,1.799859
FILLER_62_165,VPWR,li1,83.2600,182.2400,1.799864
FILLER_62_153,VPWR,li1,78.6600,182.2400,1.799873
FILLER_62_141,VPWR,li1,73.1400,182.2400,1.799883
FILLER_62_139,VPWR,li1,69.6900,182.2400,1.799892
FILLER_62_133,VPWR,li1,68.0800,182.2400,1.799892
FILLER_62_121,VPWR,li1,63.9400,182.2400,1.799900
FILLER_62_109,VPWR,li1,58.4200,182.2400,1.799913
FILLER_62_97,VPWR,li1,52.9000,182.2400,1.799921
FILLER_62_85,VPWR,li1,47.3800,182.2400,1.799931
FILLER_62_83,VPWR,li1,43.9300,182.2400,1.799941
FILLER_62_77,VPWR,li1,42.3200,182.2400,1.799941
FILLER_62_65,VPWR,li1,38.1800,182.2400,1.799948
FILLER_62_53,VPWR,li1,32.6600,182.2400,1.799959
FILLER_62_41,VPWR,li1,27.1400,182.2400,1.799971
FILLER_62_29,VPWR,li1,21.6200,182.2400,1.799981
FILLER_62_27,VPWR,li1,18.1700,182.2400,1.799981
FILLER_62_15,VPWR,li1,15.1800,182.2400,1.799981
FILLER_62_3,VPWR,li1,9.6600,182.2400,1.799981
FILLER_61_405,VPWR,li1,192.2800,176.8000,1.799992
FILLER_61_393,VPWR,li1,189.0600,176.8000,1.799992
FILLER_61_391,VPWR,li1,185.6100,176.8000,1.799992
